Files already downloaded and verified
Writing logs to logs/CNN_bs=128_lr=0.001_run_0
/mnt/storage/software/languages/anaconda/Anaconda3.8.8/lib/python3.8/site-packages/torch/utils/data/dataloader.py:563: UserWarning: This DataLoader will create 28 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
epoch: [1], step: [148/391], batch loss: 1.96825, batch accuracy: 39.06, data load time: 0.00031, step time: 0.02594
epoch: [1], step: [158/391], batch loss: 1.88256, batch accuracy: 32.81, data load time: 0.00031, step time: 0.02584
epoch: [1], step: [168/391], batch loss: 2.02400, batch accuracy: 30.47, data load time: 0.00031, step time: 0.02567
epoch: [1], step: [178/391], batch loss: 1.86683, batch accuracy: 40.62, data load time: 0.00032, step time: 0.02552
epoch: [1], step: [188/391], batch loss: 1.93474, batch accuracy: 32.03, data load time: 0.00031, step time: 0.02566
epoch: [1], step: [198/391], batch loss: 1.93865, batch accuracy: 39.06, data load time: 0.00031, step time: 0.02568
epoch: [1], step: [208/391], batch loss: 1.95505, batch accuracy: 32.81, data load time: 0.00032, step time: 0.02564
epoch: [1], step: [218/391], batch loss: 1.90324, batch accuracy: 37.50, data load time: 0.00031, step time: 0.02567
epoch: [1], step: [228/391], batch loss: 1.97540, batch accuracy: 31.25, data load time: 0.00031, step time: 0.02552
epoch: [1], step: [238/391], batch loss: 1.96572, batch accuracy: 35.16, data load time: 0.00031, step time: 0.02562
epoch: [1], step: [248/391], batch loss: 1.94014, batch accuracy: 31.25, data load time: 0.00031, step time: 0.02564
epoch: [1], step: [258/391], batch loss: 1.88117, batch accuracy: 32.81, data load time: 0.00031, step time: 0.02566
epoch: [1], step: [268/391], batch loss: 1.81563, batch accuracy: 39.06, data load time: 0.00031, step time: 0.02570
epoch: [1], step: [278/391], batch loss: 1.92562, batch accuracy: 37.50, data load time: 0.00031, step time: 0.02572
epoch: [1], step: [288/391], batch loss: 1.86728, batch accuracy: 35.94, data load time: 0.00031, step time: 0.02572
epoch: [1], step: [298/391], batch loss: 1.87277, batch accuracy: 39.06, data load time: 0.00031, step time: 0.02559
epoch: [1], step: [308/391], batch loss: 1.89014, batch accuracy: 31.25, data load time: 0.00031, step time: 0.02570
epoch: [1], step: [318/391], batch loss: 1.96262, batch accuracy: 25.00, data load time: 0.00031, step time: 0.02560
epoch: [1], step: [328/391], batch loss: 1.81484, batch accuracy: 36.72, data load time: 0.00032, step time: 0.02568
epoch: [1], step: [338/391], batch loss: 1.90531, batch accuracy: 35.16, data load time: 0.00029, step time: 0.00422
epoch: [1], step: [348/391], batch loss: 1.90440, batch accuracy: 31.25, data load time: 0.00027, step time: 0.00423
epoch: [1], step: [358/391], batch loss: 1.90030, batch accuracy: 31.25, data load time: 0.00028, step time: 0.00423
epoch: [1], step: [368/391], batch loss: 1.83570, batch accuracy: 35.16, data load time: 0.00027, step time: 0.00396
epoch: [1], step: [378/391], batch loss: 1.87555, batch accuracy: 35.94, data load time: 0.00027, step time: 0.00395
epoch: [1], step: [388/391], batch loss: 1.90605, batch accuracy: 34.38, data load time: 0.00027, step time: 0.00395
validation loss: 1.89220, accuracy: 33.58
epoch: [2], step: [7/391], batch loss: 1.82697, batch accuracy: 38.28, data load time: 0.00031, step time: 0.01041
epoch: [2], step: [17/391], batch loss: 1.91168, batch accuracy: 29.69, data load time: 0.00031, step time: 0.02610
epoch: [2], step: [27/391], batch loss: 1.73427, batch accuracy: 41.41, data load time: 0.00711, step time: 0.02361
epoch: [2], step: [37/391], batch loss: 1.88786, batch accuracy: 27.34, data load time: 0.00031, step time: 0.02564
epoch: [2], step: [47/391], batch loss: 1.85168, batch accuracy: 36.72, data load time: 0.00030, step time: 0.02574
epoch: [2], step: [57/391], batch loss: 1.89685, batch accuracy: 28.12, data load time: 0.00030, step time: 0.02555
epoch: [2], step: [67/391], batch loss: 1.90783, batch accuracy: 30.47, data load time: 0.00030, step time: 0.02571
epoch: [2], step: [77/391], batch loss: 1.88745, batch accuracy: 27.34, data load time: 0.00030, step time: 0.02587
epoch: [2], step: [87/391], batch loss: 1.78676, batch accuracy: 37.50, data load time: 0.00031, step time: 0.02579
epoch: [2], step: [97/391], batch loss: 1.82474, batch accuracy: 38.28, data load time: 0.00031, step time: 0.02581
epoch: [2], step: [107/391], batch loss: 1.84982, batch accuracy: 44.53, data load time: 0.00031, step time: 0.02706
epoch: [2], step: [117/391], batch loss: 1.75797, batch accuracy: 37.50, data load time: 0.00032, step time: 0.02574
epoch: [2], step: [127/391], batch loss: 1.78672, batch accuracy: 42.19, data load time: 0.00031, step time: 0.02585
epoch: [2], step: [137/391], batch loss: 1.86710, batch accuracy: 31.25, data load time: 0.00032, step time: 0.02568
epoch: [2], step: [147/391], batch loss: 1.82747, batch accuracy: 33.59, data load time: 0.00031, step time: 0.02578
epoch: [2], step: [157/391], batch loss: 1.87849, batch accuracy: 38.28, data load time: 0.00031, step time: 0.02590
epoch: [2], step: [167/391], batch loss: 1.84387, batch accuracy: 37.50, data load time: 0.00031, step time: 0.02586
epoch: [2], step: [177/391], batch loss: 1.87231, batch accuracy: 35.16, data load time: 0.00031, step time: 0.02557
epoch: [2], step: [187/391], batch loss: 1.82681, batch accuracy: 32.03, data load time: 0.00031, step time: 0.02566
epoch: [2], step: [197/391], batch loss: 1.94218, batch accuracy: 34.38, data load time: 0.00031, step time: 0.02556
epoch: [2], step: [207/391], batch loss: 1.78169, batch accuracy: 38.28, data load time: 0.00032, step time: 0.02567
epoch: [2], step: [217/391], batch loss: 1.80814, batch accuracy: 32.81, data load time: 0.00031, step time: 0.02571
epoch: [2], step: [227/391], batch loss: 1.75200, batch accuracy: 39.06, data load time: 0.00031, step time: 0.02556
epoch: [2], step: [237/391], batch loss: 1.73173, batch accuracy: 39.06, data load time: 0.00032, step time: 0.02561
epoch: [2], step: [247/391], batch loss: 1.92259, batch accuracy: 33.59, data load time: 0.00031, step time: 0.02566
epoch: [2], step: [257/391], batch loss: 1.72018, batch accuracy: 45.31, data load time: 0.00032, step time: 0.02563
epoch: [2], step: [267/391], batch loss: 1.90226, batch accuracy: 28.91, data load time: 0.00031, step time: 0.02566
epoch: [2], step: [277/391], batch loss: 1.82542, batch accuracy: 28.91, data load time: 0.00031, step time: 0.02556
